"id","name"
"24","ŚLĄSKIE"
"16","OPOLSKIE"
"30","WIELKOPOLSKIE"
"26","ŚWIĘTOKRZYSKIE"
"22","POMORSKIE"
"04","KUJAWSKO-POMORSKIE"
"20","PODLASKIE"
"32","ZACHODNIOPOMORSKIE"
"02","DOLNOŚLĄSKIE"
"18","PODKARPACKIE"
"12","MAŁOPOLSKIE"
"28","WARMIŃSKO-MAZURSKIE"
"10","ŁÓDZKIE"
"14","MAZOWIECKIE"
"06","LUBELSKIE"
"08","LUBUSKIE"
"1815","ROPCZYCKO-SĘDZISZOWSKI"
"1410","ŁOSICKI"
"1418","PIASECZYŃSKI"
"1425","RADOMSKI"
"1427","SIERPECKI"
"1430","SZYDŁOWIECKI"
"1433","WĘGROWSKI"
"1404","GOSTYNIŃSKI"
"1405","GRODZISKI"
"0611","ŁUKOWSKI"
"0618","TOMASZOWSKI"
"0662","CHEŁM"
"1202","BRZESKI"
"1261","KRAKÓW"
"1020","ZGIERSKI"
"0807","SULĘCIŃSKI"
"1810","ŁAŃCUCKI"
"1601","BRZESKI"
"3018","OSTRZESZOWSKI"
"1463","RADOM"
"1438","ŻYRARDOWSKI"
"3016","OBORNICKI"
"3013","LESZCZYŃSKI"
"1464","SIEDLCE"
"3063","LESZNO"
"3009","KOLSKI"
"2062","ŁOMŻA"
"3022","RAWICKI"
"3023","SŁUPECKI"
"2206","KOŚCIERSKI"
"2613","WŁOSZCZOWSKI"
"3214","STARGARDZKI"
"0264","WROCŁAW"
"2806","GIŻYCKI"
"2810","MRĄGOWSKI"
"0203","GŁOGOWSKI"
"3202","CHOSZCZEŃSKI"
"2475","SOSNOWIEC"
"2412","RYBNICKI"
"2466","GLIWICE"
"2468","JAWORZNO"
"0407","INOWROCŁAWSKI"
"0402","BRODNICKI"
"0418","WŁOCŁAWSKI"
"0409","MOGILEŃSKI"
"0463","TORUŃ"
"0416","TUCHOLSKI"
"2411","RACIBORSKI"
"2403","CIESZYŃSKI"
"1807","KROŚNIEŃSKI"
"1607","NYSKI"
"0261","JELENIA GÓRA"
"0225","ZGORZELECKI"
"1422","PRZASNYSKI"
"1461","OSTROŁĘKA"
"3025","ŚREDZKI"
"3006","JAROCIŃSKI"
"2262","GDYNIA"
"3263","ŚWINOUJŚCIE"
"0207","KAMIENNOGÓRSKI"
"1008","PABIANICKI"
"2006","KOLNEŃSKI"
"1661","OPOLE"
"2815","OSTRÓDZKI"
"2471","PIEKARY ŚLĄSKIE"
"1813","PRZEMYSKI"
"1862","PRZEMYŚL"
"1432","WARSZAWSKI ZACHODNI"
"0619","WŁODAWSKI"
"0663","LUBLIN"
"1201","BOCHEŃSKI"
"1263","TARNÓW"
"0812","WSCHOWSKI"
"0801","GORZOWSKI"
"0803","MIĘDZYRZECKI"
"0805","SŁUBICKI"
"3015","NOWOTOMYSKI"
"3028","WĄGROWIECKI"
"2003","BIELSKI"
"2012","SUWALSKI"
"2212","SŁUPSKI"
"2607","OSTROWIECKI"
"2610","SKARŻYSKI"
"2205","KARTUSKI"
"2404","CZĘSTOCHOWSKI"
"3212","PYRZYCKI"
"2474","SIEMIANOWICE ŚLĄSKIE"
"2861","ELBLĄG"
"3206","GRYFIŃSKI"
"2462","BYTOM"
"0226","ZŁOTORYJSKI"
"0223","WROCŁAWSKI"
"0213","MILICKI"
"0211","LUBIŃSKI"
"0408","LIPNOWSKI"
"0419","ŻNIŃSKI"
"0411","RADZIEJOWSKI"
"0410","NAKIELSKI"
"2801","BARTOSZYCKI"
"2417","ŻYWIECKI"
"2011","SOKÓLSKI"
"1805","JASIELSKI"
"1602","GŁUBCZYCKI"
"1210","NOWOSĄDECKI"
"0862","ZIELONA GÓRA"
"1063","SKIERNIEWICE"
"0810","ŻAGAŃSKI"
"2261","GDAŃSK"
"2208","LĘBORSKI"
"1061","ŁÓDŹ"
"1010","PIOTRKOWSKI"
"1416","OSTROWSKI"
"2213","STAROGARDZKI"
"3064","POZNAŃ"
"3062","KONIN"
"1818","STALOWOWOLSKI"
"1864","TARNOBRZEG"
"1420","PŁOŃSKI"
"1413","MŁAWSKI"
"1426","SIEDLECKI"
"1403","GARWOLIŃSKI"
"1409","LIPSKI"
"0604","HRUBIESZOWSKI"
"0607","KRAŚNICKI"
"0610","ŁĘCZYŃSKI"
"0612","OPOLSKI"
"0616","RYCKI"
"0664","ZAMOŚĆ"
"1204","DĄBROWSKI"
"1206","KRAKOWSKI"
"1018","WIERUSZOWSKI"
"0811","ŻARSKI"
"0802","KROŚNIEŃSKI"
"1803","DĘBICKI"
"1606","NAMYSŁOWSKI"
"3002","CZARNKOWSKO-TRZCIANECKI"
"1462","PŁOCK"
"2004","GRAJEWSKI"
"2611","STARACHOWICKI"
"2605","KONECKI"
"2804","ELBLĄSKI"
"2811","NIDZICKI"
"2812","NOWOMIEJSKI"
"2472","RUDA ŚLĄSKA"
"3201","BIAŁOGARDZKI"
"2416","ZAWIERCIAŃSKI"
"2463","CHORZÓW"
"2469","KATOWICE"
"0201","BOLESŁAWIECKI"
"0265","WAŁBRZYCH"
"0413","SĘPOLEŃSKI"
"0464","WŁOCŁAWEK"
"2005","HAJNOWSKI"
"1203","CHRZANOWSKI"
"2215","WEJHEROWSKI"
"3262","SZCZECIN"
"2211","PUCKI"
"1013","RAWSKI"
"1005","ŁOWICKI"
"1015","SKIERNIEWICKI"
"2807","IŁAWSKI"
"1812","NIŻAŃSKI"
"1820","TARNOBRZESKI"
"1414","NOWODWORSKI"
"1421","PRUSZKOWSKI"
"1423","PRZYSUSKI"
"1401","BIAŁOBRZESKI"
"1435","WYSZKOWSKI"
"0602","BIŁGORAJSKI"
"0603","CHEŁMSKI"
"0613","PARCZEWSKI"
"0617","ŚWIDNICKI"
"1002","KUTNOWSKI"
"1006","ŁÓDZKI WSCHODNI"
"1806","KOLBUSZOWSKI"
"1608","OLESKI"
"1611","STRZELECKI"
"3031","ZŁOTOWSKI"
"2063","SUWAŁKI"
"3011","KOŚCIAŃSKI"
"3005","GRODZISKI"
"3024","SZAMOTULSKI"
"2661","KIELCE"
"2612","STASZOWSKI"
"2805","EŁCKI"
"0202","DZIERŻONIOWSKI"
"2214","TCZEWSKI"
"3208","KOŁOBRZESKI"
"3261","KOSZALIN"
"2406","KŁOBUCKI"
"2405","GLIWICKI"
"2407","LUBLINIECKI"
"2461","BIELSKO-BIAŁA"
"0262","LEGNICA"
"0406","GRUDZIĄDZKI"
"0222","WOŁOWSKI"
"0415","TORUŃSKI"
"0404","CHEŁMIŃSKI"
"2415","WODZISŁAWSKI"
"1821","LESKI"
"1801","BIESZCZADZKI"
"1610","PRUDNICKI"
"0224","ZĄBKOWICKI"
"1411","MAKOWSKI"
"2410","PSZCZYŃSKI"
"2818","GOŁDAPSKI"
"2264","SOPOT"
"1816","RZESZOWSKI"
"0206","JELENIOGÓRSKI"
"0219","ŚWIDNICKI"
"1007","OPOCZYŃSKI"
"2203","CZŁUCHOWSKI"
"3017","OSTROWSKI"
"3061","KALISZ"
"1819","STRZYŻOWSKI"
"1412","MIŃSKI"
"1436","ZWOLEŃSKI"
"1437","ŻUROMIŃSKI"
"0609","LUBELSKI"
"1214","PROSZOWICKI"
"1219","WIELICKI"
"1014","SIERADZKI"
"1021","BRZEZIŃSKI"
"0806","STRZELECKO-DREZDENECKI"
"0808","ŚWIEBODZIŃSKI"
"1808","LEŻAJSKI"
"1809","LUBACZOWSKI"
"3001","CHODZIESKI"
"3014","MIĘDZYCHODZKI"
"1604","KLUCZBORSKI"
"2602","JĘDRZEJOWSKI"
"3004","GOSTYŃSKI"
"2603","KAZIMIERSKI"
"3007","KALISKI"
"2010","SIEMIATYCKI"
"2204","GDAŃSKI"
"2817","SZCZYCIEŃSKI"
"3218","ŁOBESKI"
"3205","GRYFICKI"
"2409","MYSZKOWSKI"
"0214","OLEŚNICKI"
"0217","STRZELIŃSKI"
"0417","WĄBRZESKI"
"2808","KĘTRZYŃSKI"
"2002","BIAŁOSTOCKI"
"2001","AUGUSTOWSKI"
"0221","WAŁBRZYSKI"
"0208","KŁODZKI"
"2477","TYCHY"
"2473","RYBNIK"
"1429","SOKOŁOWSKI"
"1406","GRÓJECKI"
"0608","LUBARTOWSKI"
"0614","PUŁAWSKI"
"0615","RADZYŃSKI"
"0661","BIAŁA PODLASKA"
"1262","NOWY SĄCZ"
"0861","GORZÓW WIELKOPOLSKI"
"3019","PILSKI"
"2013","WYSOKOMAZOWIECKI"
"2601","BUSKI"
"3026","ŚREMSKI"
"3008","KĘPIŃSKI"
"3027","TURECKI"
"2606","OPATOWSKI"
"2263","SŁUPSK"
"2608","PIŃCZOWSKI"
"3209","KOSZALIŃSKI"
"2402","BIELSKI"
"2819","WĘGORZEWSKI"
"2414","BIERUŃSKO-LĘDZIŃSKI"
"3211","POLICKI"
"0216","POLKOWICKI"
"2467","JASTRZĘBIE-ZDRÓJ"
"1217","TATRZAŃSKI"
"1211","NOWOTARSKI"
"0212","LWÓWECKI"
"1408","LEGIONOWSKI"
"2813","OLECKI"
"1016","TOMASZOWSKI"
"2014","ZAMBROWSKI"
"2201","BYTOWSKI"
"2401","BĘDZIŃSKI"
"1419","PŁOCKI"
"1424","PUŁTUSKI"
"1428","SOCHACZEWSKI"
"1402","CIECHANOWSKI"
"0601","BIALSKI"
"0606","KRASNOSTAWSKI"
"0620","ZAMOJSKI"
"1216","TARNOWSKI"
"1001","BEŁCHATOWSKI"
"1003","ŁASKI"
"1004","ŁĘCZYCKI"
"1009","PAJĘCZAŃSKI"
"1012","RADOMSZCZAŃSKI"
"1019","ZDUŃSKOWOLSKI"
"0804","NOWOSOLSKI"
"1804","JAROSŁAWSKI"
"1811","MIELECKI"
"1465","WARSZAWA"
"1605","KRAPKOWICKI"
"2008","MONIECKI"
"2604","KIELECKI"
"3030","WRZESIŃSKI"
"3003","GNIEŹNIEŃSKI"
"2209","MALBORSKI"
"2809","LIDZBARSKI"
"2814","OLSZTYŃSKI"
"3213","SŁAWIEŃSKI"
"2803","DZIAŁDOWSKI"
"0204","GÓROWSKI"
"2216","SZTUMSKI"
"2207","KWIDZYŃSKI"
"2465","DĄBROWA GÓRNICZA"
"2470","MYSŁOWICE"
"3210","MYŚLIBORSKI"
"0405","GOLUBSKO-DOBRZYŃSKI"
"0401","ALEKSANDROWSKI"
"0414","ŚWIECKI"
"3020","PLESZEWSKI"
"1861","KROSNO"
"2009","SEJNEŃSKI"
"1817","SANOCKI"
"1215","SUSKI"
"0809","ZIELONOGÓRSKI"
"1434","WOŁOMIŃSKI"
"2408","MIKOŁOWSKI"
"3204","GOLENIOWSKI"
"1863","RZESZÓW"
"2007","ŁOMŻYŃSKI"
"1609","OPOLSKI"
"3217","WAŁECKI"
"3203","DRAWSKI"
"2202","CHOJNICKI"
"2413","TARNOGÓRSKI"
"1814","PRZEWORSKI"
"1417","OTWOCKI"
"1407","KOZIENICKI"
"0605","JANOWSKI"
"1207","LIMANOWSKI"
"1208","MIECHOWSKI"
"1209","MYŚLENICKI"
"1212","OLKUSKI"
"1213","OŚWIĘCIMSKI"
"1062","PIOTRKÓW TRYBUNALSKI"
"1011","PODDĘBICKI"
"1017","WIELUŃSKI"
"1802","BRZOZOWSKI"
"1603","KĘDZIERZYŃSKO-KOZIELSKI"
"3012","KROTOSZYŃSKI"
"2061","BIAŁYSTOK"
"3029","WOLSZTYŃSKI"
"2609","SANDOMIERSKI"
"3215","SZCZECINECKI"
"3216","ŚWIDWIŃSKI"
"2816","PISKI"
"2476","ŚWIĘTOCHŁOWICE"
"2478","ZABRZE"
"2862","OLSZTYN"
"2802","BRANIEWSKI"
"3207","KAMIEŃSKI"
"2464","CZĘSTOCHOWA"
"0220","TRZEBNICKI"
"0403","BYDGOSKI"
"0215","OŁAWSKI"
"0218","ŚREDZKI"
"0209","LEGNICKI"
"0461","BYDGOSZCZ"
"0462","GRUDZIĄDZ"
"0412","RYPIŃSKI"
"1205","GORLICKI"
"0210","LUBAŃSKI"
"1218","WADOWICKI"
"1415","OSTROŁĘCKI"
"2479","ŻORY"
"2210","NOWODWORSKI"
"0205","JAWORSKI"
"3021","POZNAŃSKI"
"3010","KONIŃSKI"
